latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.198593,27.9403,48.0,10800,Europe/Sofia,GMT+3

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
2010-01-01,16.5,8.7,12.2,0.00,84,23.0,1.08
2010-01-02,11.8,2.7,9.1,1.50,79,16.3,0.91
2010-01-03,2.2,0.3,1.3,2.20,79,15.2,0.44
2010-01-04,-0.2,-2.9,-1.4,0.30,78,16.9,0.61
2010-01-05,4.8,-1.5,1.8,0.00,73,15.4,0.83
2010-01-06,12.1,4.6,8.9,3.00,81,21.5,0.80
2010-01-07,15.6,11.4,13.0,0.10,87,21.4,0.88
2010-01-08,11.1,6.7,8.9,0.00,97,13.0,0.47
2010-01-09,14.2,8.9,11.4,0.00,84,20.4,0.90
2010-01-10,13.1,10.0,11.6,0.50,77,17.1,1.05
2010-01-11,10.3,6.4,8.1,0.00,79,28.5,1.07
2010-01-12,7.9,3.6,5.8,0.00,78,11.2,0.79
2010-01-13,5.0,2.2,4.2,3.20,85,16.8,0.47
2010-01-14,3.7,0.2,1.7,1.60,80,11.4,0.65
2010-01-15,4.3,-1.3,1.3,0.00,73,8.0,0.81
2010-01-16,1.3,-0.8,0.3,0.00,76,17.6,0.61
2010-01-17,4.4,-0.1,2.1,1.20,84,16.4,0.52
2010-01-18,6.0,-1.3,3.7,14.80,90,22.1,0.31
2010-01-19,-1.7,-5.7,-4.0,19.00,88,26.8,0.30
2010-01-20,-4.1,-5.9,-5.1,0.70,85,21.4,0.40
2010-01-21,-4.0,-8.2,-5.8,0.00,86,12.1,0.50
2010-01-22,-6.2,-9.8,-7.9,0.00,87,27.6,0.36
2010-01-23,-6.1,-10.9,-9.1,3.40,82,29.6,0.38
2010-01-24,-9.9,-14.5,-12.6,0.40,77,21.6,0.46
2010-01-25,-13.2,-18.2,-15.5,0.00,77,19.0,0.39
2010-01-26,-3.6,-16.8,-10.8,0.00,78,9.4,0.59
2010-01-27,2.2,-5.7,-2.1,0.00,75,9.2,0.67
2010-01-28,-0.7,-8.0,-4.3,0.00,86,14.5,0.64
2010-01-29,-0.1,-4.0,-2.1,2.30,84,20.0,0.62
2010-01-30,4.3,-6.3,-0.2,0.00,89,11.9,0.61
2010-01-31,7.8,1.9,5.0,4.50,94,13.2,0.57
2010-02-01,7.7,-0.5,2.9,10.20,88,25.8,0.71
2010-02-02,-0.4,-3.5,-1.9,0.00,81,25.0,0.66
2010-02-03,0.1,-4.2,-2.4,0.00,76,23.2,0.93
2010-02-04,1.7,-4.1,-1.7,0.00,73,15.0,0.95
2010-02-05,-0.3,-4.5,-2.6,0.00,82,14.0,0.76
2010-02-06,3.1,-4.2,0.4,0.90,86,14.4,0.61
2010-02-07,4.3,2.5,3.5,21.40,90,23.9,0.34
2010-02-08,2.3,-4.9,-1.2,17.00,91,26.1,0.30
2010-02-09,-0.2,-5.0,-3.1,3.60,83,23.7,0.75
2010-02-10,4.5,-5.4,0.1,1.00,87,22.6,0.78
2010-02-11,9.3,4.9,7.3,9.70,91,23.0,0.60
2010-02-12,11.4,4.9,8.0,0.00,88,14.0,1.14
2010-02-13,12.1,3.2,9.3,4.30,72,26.4,1.87
2010-02-14,10.8,1.6,5.5,1.00,77,16.7,1.48
2010-02-15,6.4,0.4,4.2,19.50,92,25.8,0.34
