latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.40949,24.55772,87.0,10800,Europe/Sofia,GMT+3

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
2010-01-01,14.7,3.3,8.1,0.00,83,8.6,0.76
2010-01-02,9.1,4.9,7.6,3.80,78,22.7,0.69
2010-01-03,4.4,-0.5,2.5,3.60,76,30.0,0.86
2010-01-04,2.2,-2.7,-0.7,0.00,63,30.7,1.15
2010-01-05,2.9,-3.5,-0.8,1.20,75,11.7,0.53
2010-01-06,8.2,-1.4,1.4,0.60,91,10.2,0.62
2010-01-07,10.4,-1.5,3.3,0.30,93,9.5,0.66
2010-01-08,12.0,-0.0,6.1,0.00,92,15.1,0.51
2010-01-09,15.3,4.5,9.2,0.00,91,13.0,0.82
2010-01-10,9.9,4.4,7.0,5.50,95,12.5,0.40
2010-01-11,10.2,3.4,6.1,0.00,80,25.7,1.14
2010-01-12,7.6,-1.0,3.3,0.00,80,14.1,0.89
2010-01-13,5.3,-0.0,2.7,0.00,81,6.8,0.55
2010-01-14,4.7,1.2,2.8,0.00,80,10.9,0.64
2010-01-15,4.5,-0.7,1.5,0.00,81,9.0,0.53
2010-01-16,4.3,-2.1,1.0,0.00,80,15.8,0.71
2010-01-17,2.1,-1.6,0.1,0.00,79,17.7,0.66
2010-01-18,0.2,-2.3,-0.7,10.30,93,10.9,0.28
2010-01-19,-2.1,-4.3,-3.3,3.00,90,9.2,0.38
2010-01-20,-3.4,-6.2,-4.7,4.80,90,13.3,0.34
2010-01-21,-6.1,-12.0,-8.1,0.00,88,11.7,0.41
2010-01-22,-9.0,-11.7,-10.3,0.00,88,12.2,0.27
2010-01-23,-7.4,-11.5,-9.9,0.00,83,5.6,0.43
2010-01-24,-8.2,-16.6,-11.8,0.00,78,11.0,0.49
2010-01-25,-10.4,-21.1,-16.6,0.00,77,10.9,0.43
2010-01-26,-11.9,-21.3,-16.6,0.00,80,10.1,0.40
2010-01-27,-8.7,-15.8,-12.1,3.00,80,7.9,0.36
2010-01-28,-6.4,-12.1,-9.6,0.80,87,8.9,0.47
2010-01-29,0.1,-9.7,-5.4,2.50,85,13.7,0.70
2010-01-30,-1.0,-11.7,-6.9,0.00,87,9.4,0.70
2010-01-31,-0.0,-6.4,-2.8,1.30,94,15.1,0.45
2010-02-01,0.1,-6.6,-2.0,3.60,88,23.8,0.47
2010-02-02,-2.2,-8.3,-4.9,0.00,81,22.7,0.65
2010-02-03,0.4,-9.5,-5.2,0.00,77,13.1,0.88
2010-02-04,3.7,-7.5,-1.3,0.00,77,19.1,1.01
2010-02-05,1.9,-13.0,-5.2,0.00,89,15.0,0.81
2010-02-06,0.9,-6.5,-2.9,4.10,90,14.2,0.39
2010-02-07,0.6,-2.3,-0.8,3.30,95,27.9,0.51
2010-02-08,-2.6,-5.8,-5.1,14.60,89,25.7,0.38
2010-02-09,-1.8,-10.5,-6.2,0.00,84,11.5,0.85
2010-02-10,1.1,-9.8,-5.4,2.10,89,26.2,0.57
2010-02-11,2.3,-1.6,1.2,6.80,96,26.1,0.78
2010-02-12,2.0,-3.6,-0.7,0.00,98,13.0,0.74
2010-02-13,3.5,0.2,1.6,6.20,92,15.0,0.94
2010-02-14,3.3,-3.7,-0.0,0.20,88,14.5,0.94
2010-02-15,1.3,-2.0,0.6,15.10,96,15.2,0.29
2010-02-16,2.1,-5.8,-2.0,0.00,90,11.2,0.96
2010-02-17,2.2,-3.0,-0.3,3.40,94,8.7,0.68
2010-02-18,2.2,-1.2,0.4,2.20,98,5.7,0.60
2010-02-19,6.3,-1.6,2.3,0.20,91,12.3,1.26
2010-02-20,7.0,-0.5,3.4,0.00,92,9.6,1.26
2010-02-21,5.3,2.1,3.7,0.10,82,37.6,1.19
2010-02-22,6.9,-4.3,2.2,0.00,73,22.5,1.50
2010-02-23,12.2,-0.3,4.9,0.20,79,9.8,1.51
2010-02-24,13.8,2.8,7.6,0.00,87,9.6,1.65
2010-02-25,8.2,4.6,6.4,0.10,96,8.4,0.42
2010-02-26,12.7,6.4,8.8,0.00,86,13.3,1.10
2010-02-27,8.4,5.4,7.0,9.60,88,20.7,0.50
2010-02-28,13.8,4.0,8.1,0.00,72,14.3,1.73
2010-03-01,13.3,3.5,8.9,0.00,80,7.5,1.03
