latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.581722,23.246754,273.0,10800,Europe/Sofia,GMT+3

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm)
2010-01-01,13.7,7.3,9.9,0.00,87,4.7,0.84
2010-01-02,10.9,7.8,9.2,0.50,83,9.7,0.78
2010-01-03,8.8,-2.3,5.5,0.50,76,10.0,0.97
2010-01-04,3.6,-3.7,-0.4,0.00,55,9.7,1.04
2010-01-05,2.9,-1.9,0.9,6.80,79,7.3,0.35
2010-01-06,10.0,3.1,7.7,9.50,96,7.1,0.32
2010-01-07,14.1,7.5,10.8,3.90,95,7.7,0.69
2010-01-08,13.5,2.9,8.4,0.00,90,8.1,0.74
2010-01-09,13.2,7.6,10.0,0.60,93,11.9,0.69
2010-01-10,11.7,7.5,10.0,6.10,90,8.7,0.81
2010-01-11,10.6,4.5,7.4,0.30,75,7.9,1.09
2010-01-12,9.4,5.5,7.2,0.20,75,4.2,0.68
2010-01-13,8.8,3.7,6.2,2.70,81,6.5,0.96
2010-01-14,8.4,4.4,6.1,1.20,80,5.0,0.81
2010-01-15,7.1,4.0,5.4,1.30,88,5.2,0.52
2010-01-16,7.4,1.8,4.6,0.80,77,5.2,0.81
2010-01-17,5.5,1.1,3.1,0.60,81,4.6,0.75
2010-01-18,8.3,2.0,4.9,0.90,80,7.6,0.87
2010-01-19,5.2,-1.0,1.7,0.00,74,7.9,0.76
2010-01-20,4.2,0.2,1.9,0.50,72,6.5,0.67
2010-01-21,5.2,1.2,2.9,0.00,68,6.0,0.91
2010-01-22,6.1,1.1,3.3,0.00,60,5.6,0.92
2010-01-23,2.1,-1.5,0.0,1.30,65,5.1,0.65
2010-01-24,2.6,-2.5,-0.5,0.00,59,4.3,0.92
2010-01-25,0.6,-3.7,-1.9,1.40,69,6.3,0.81
2010-01-26,-0.2,-5.3,-3.1,0.00,79,5.8,0.67
2010-01-27,0.3,-3.4,-2.1,0.00,78,4.7,0.58
2010-01-28,2.5,-2.5,-0.4,4.00,88,5.0,0.69
2010-01-29,6.3,0.1,3.6,4.10,83,5.5,1.07
2010-01-30,6.6,4.1,4.9,1.90,91,7.5,0.48
2010-01-31,7.6,4.3,6.0,12.00,96,7.6,0.51
2010-02-01,6.7,-1.4,4.0,10.70,92,8.4,0.50
2010-02-02,2.1,-5.3,-2.0,0.00,70,9.8,1.02
2010-02-03,2.4,-7.2,-1.7,0.00,59,7.6,1.16
2010-02-04,6.5,0.4,3.1,0.00,53,9.7,1.52
2010-02-05,4.2,-5.7,0.7,0.60,85,7.2,0.81
2010-02-06,3.0,-0.0,1.5,13.60,96,8.8,0.36
2010-02-07,9.0,0.9,4.5,1.10,81,8.7,0.94
2010-02-08,2.1,-4.4,-0.2,8.40,83,8.8,0.68
2010-02-09,3.1,-10.6,-2.7,0.00,78,9.4,1.15
2010-02-10,4.4,-2.0,1.8,20.90,89,9.4,0.39
2010-02-11,8.5,4.3,6.9,6.20,95,6.4,0.82
2010-02-12,7.5,4.4,5.8,4.20,94,8.9,0.91
2010-02-13,7.1,1.8,5.3,11.80,84,9.9,1.18
2010-02-14,7.6,1.7,4.3,9.10,80,7.1,0.78
2010-02-15,5.9,3.3,4.6,10.50,83,13.2,1.11
2010-02-16,7.6,0.3,3.9,0.10,72,5.8,1.30
2010-02-17,9.8,3.9,6.6,5.20,91,6.9,0.66
2010-02-18,12.8,6.5,9.3,0.40,89,7.7,1.38
2010-02-19,12.6,3.1,8.8,0.00,79,8.3,1.75
2010-02-20,14.3,7.8,11.4,2.10,83,8.7,1.58
2010-02-21,11.8,1.8,8.0,3.30,81,13.4,1.53
2010-02-22,8.3,-0.0,4.2,0.00,60,8.4,1.51
2010-02-23,10.6,3.5,7.0,0.40,81,6.7,1.30
2010-02-24,12.8,1.3,8.0,0.40,88,6.6,1.34
2010-02-25,12.2,4.5,8.3,8.00,89,8.5,1.09
2010-02-26,13.4,0.5,7.1,0.30,83,8.6,1.88
2010-02-27,11.9,4.3,8.1,3.00,85,13.6,1.49
2010-02-28,11.5,0.2,5.8,0.00,73,9.2,1.83
2010-03-01,14.5,6.9,10.1,0.10,71,5.6,1.56
2010-03-02,15.0,7.5,11.1,3.50,81,11.6,1.80
2010-03-03,14.4,4.5,9.7,0.20,71,8.2,2.14
2010-03-04,10.4,4.7,8.1,3.40,82,10.5,1.01
2010-03-05,12.3,3.7,8.4,3.20,86,8.0,1.22
2010-03-06,5.8,-1.2,2.1,0.90,68,13.6,1.49
2010-03-07,6.8,-0.9,2.9,0.00,48,7.0,1.82
2010-03-08,2.9,-0.9,0.6,16.90,82,6.5,0.57
2010-03-09,5.2,-1.4,1.4,10.30,83,6.1,1.39
2010-03-10,4.8,-0.1,2.3,5.10,88,7.8,1.20
2010-03-11,6.5,1.3,3.9,4.90,89,7.1,1.57
2010-03-12,9.2,1.2,5.4,0.60,77,9.8,1.83
2010-03-13,9.1,-0.1,5.5,0.00,67,9.7,2.14
2010-03-14,9.0,-0.3,4.3,0.00,63,9.1,2.30
2010-03-15,10.0,-0.6,4.9,0.00,64,13.3,2.11
2010-03-16,11.3,2.4,6.4,0.00,55,8.4,2.62
2010-03-17,10.5,3.9,7.3,0.00,53,14.4,2.58
2010-03-18,13.3,3.8,8.4,0.00,50,8.8,2.73
2010-03-19,14.2,4.7,9.8,0.00,55,6.3,2.93
2010-03-20,14.3,1.8,9.2,0.00,72,6.4,2.64
2010-03-21,18.2,2.1,11.4,0.00,67,6.9,2.96
2010-03-22,21.5,7.6,15.6,0.00,63,7.4,3.17
2010-03-23,17.9,12.2,15.2,1.30,76,5.2,1.23
2010-03-24,16.8,12.4,14.7,2.50,81,5.1,1.54
2010-03-25,17.8,7.4,13.8,0.20,77,5.8,2.29
2010-03-26,17.6,11.1,14.3,0.00,78,6.4,2.55
2010-03-27,17.7,5.9,12.8,0.00,80,7.3,3.08
2010-03-28,11.6,8.7,9.9,6.70,89,15.1,1.28
2010-03-29,17.4,6.7,12.1,0.00,60,14.2,3.25
2010-03-30,18.5,6.6,13.5,0.00,52,9.0,3.57
2010-03-31,18.0,11.3,14.6,0.80,66,8.7,2.86
2010-04-01,19.4,10.2,15.5,0.00,60,9.3,3.49
2010-04-02,17.8,8.8,13.9,1.30,64,6.8,2.26
2010-04-03,19.0,8.0,14.1,0.00,62,9.5,3.50
2010-04-04,18.6,8.5,14.4,0.00,61,8.4,3.47
2010-04-05,16.3,7.1,12.8,2.20,76,6.2,2.25
2010-04-06,14.9,6.5,10.9,0.90,74,14.6,2.94
2010-04-07,15.1,5.7,10.6,0.40,71,9.4,2.63
2010-04-08,16.5,6.4,12.1,1.40,68,8.0,3.01
2010-04-09,17.5,10.0,13.6,0.70,68,5.2,2.81
2010-04-10,16.8,8.2,12.5,6.80,74,4.6,2.83
2010-04-11,15.7,5.2,11.5,0.80,80,6.9,2.59
2010-04-12,13.9,9.2,11.1,2.40,88,5.8,1.61
2010-04-13,14.2,8.8,11.4,0.10,83,7.0,1.94
2010-04-14,13.3,8.6,11.0,7.60,86,5.9,1.49
2010-04-15,15.6,9.1,12.2,5.90,85,5.9,1.57
2010-04-16,19.6,7.6,14.2,0.60,84,7.2,2.47
2010-04-17,17.7,10.9,15.1,13.60,84,7.4,1.93
2010-04-18,17.4,11.2,14.3,7.10,86,6.9,2.01
2010-04-19,15.9,11.3,13.5,5.00,87,8.1,1.80
2010-04-20,16.3,10.5,13.0,8.30,87,10.1,2.16
2010-04-21,19.7,9.5,14.4,1.70,68,9.8,3.81
2010-04-22,21.0,9.5,16.8,0.10,53,9.0,4.41
2010-04-23,21.3,12.3,17.6,0.00,61,10.9,3.72
2010-04-24,19.6,14.2,16.7,0.90,62,5.9,2.81
2010-04-25,21.9,9.9,17.6,0.00,61,5.8,3.67
2010-04-26,20.0,11.9,16.8,0.00,60,7.9,3.04
2010-04-27,21.5,8.7,16.5,0.00,52,7.9,4.60
2010-04-28,21.1,9.7,16.1,0.00,52,6.9,4.40
2010-04-29,21.2,9.9,16.6,0.30,59,5.2,3.92
2010-04-30,22.2,11.9,17.6,0.00,59,9.0,4.23
2010-05-01,23.4,13.0,18.7,0.00,63,8.0,4.54
